region;date;price
pardubicky;31.12.2023;49065
vysocina;31.03.2023;46131
vysocina;30.06.2023;46394
vysocina;30.09.2023;47863
vysocina;31.12.2023;46271
jihomoravsky;31.03.2023;65870
jihomoravsky;30.06.2023;64932
jihomoravsky;30.09.2023;64987
jihomoravsky;31.12.2023;66311
olomoucky;31.03.2023;45494
olomoucky;30.06.2023;46112
olomoucky;30.09.2023;44760
olomoucky;31.12.2023;46015
zlinsky;31.03.2023;46035
zlinsky;30.06.2023;44255
zlinsky;30.09.2023;45028
zlinsky;31.12.2023;45334
moravskoslezsky;31.03.2023;38388
moravskoslezsky;30.06.2023;38237
moravskoslezsky;30.09.2023;38207
moravskoslezsky;31.12.2023;38615
praha;31.03.2024;109246
praha;30.06.2024;114305
praha;30.09.2024;118362
praha;31.12.2024;121643
stredocesky;31.03.2024;55237
stredocesky;30.06.2024;57727
stredocesky;30.09.2024;58361
stredocesky;31.12.2024;58474
jihocesky;31.03.2024;49635
jihocesky;30.06.2024;49821
jihocesky;30.09.2024;50302
jihocesky;31.12.2024;49858
plzensky;31.03.2024;50873
plzensky;30.06.2024;50597
plzensky;30.09.2024;53575
plzensky;31.12.2024;56063
karlovarsky;31.03.2024;35190
karlovarsky;30.06.2024;36467
karlovarsky;30.09.2024;36436
karlovarsky;31.12.2024;37144
ustecky;31.03.2024;34849
ustecky;30.06.2024;35555
ustecky;30.09.2024;36836
ustecky;31.12.2024;37944
liberecky;31.03.2024;47699
liberecky;30.06.2024;49228
liberecky;30.09.2024;49441
liberecky;31.12.2024;49352
kralovehradecky;31.03.2024;48850
kralovehradecky;30.06.2024;50018
kralovehradecky;30.09.2024;49499
kralovehradecky;31.12.2024;49573
pardubicky;31.03.2024;49460
pardubicky;30.06.2024;53080
pardubicky;30.09.2024;52360
pardubicky;31.12.2024;53864
vysocina;31.03.2024;48855
vysocina;30.06.2024;49892
vysocina;30.09.2024;51238
vysocina;31.12.2024;52256
jihomoravsky;31.03.2024;71346
jihomoravsky;30.06.2024;71519
jihomoravsky;30.09.2024;72067
jihomoravsky;31.12.2024;73451
olomoucky;31.03.2024;47406
olomoucky;30.06.2024;48178
olomoucky;30.09.2024;48772
olomoucky;31.12.2024;49880
zlinsky;31.03.2024;47463
zlinsky;30.06.2024;48708
zlinsky;30.09.2024;50700
zlinsky;31.12.2024;48746
moravskoslezsky;31.03.2024;41465
moravskoslezsky;30.06.2024;43628
moravskoslezsky;30.09.2024;43208
moravskoslezsky;31.12.2024;44031
